city,location_code,daily_energy_consumption_kwh,roof_area_sqm,load_shedding_hours,solar_irradiance_kwh_per_m2,sun_hours,avg_temp_c,recommended_system_size_kw,estimated_cost_pkr
Lahore,LHR,28.13559551672034,48.761072222235384,10,5.2,5.2,28,8.0,1280663.0
Bahawalpur,BWP,11.732957885702442,39.40545085006171,2,5.5,5.5,29,2.73,436704.0
Peshawar,PEW,20.840434460719187,22.332039108949544,0,5.1,5.1,27,5.36,857662.0
Quetta,QTA,19.79412005957065,29.285828488589832,6,5.4,5.4,24,4.48,717080.0
Multan,MUL,23.064085796185346,24.87850818034674,10,5.6,5.6,30,5.95,952643.0
Lahore,LHR,17.201346798393615,47.9818545006204,2,5.2,5.2,28,4.03,644642.0
Islamabad,ISB,8.994810742336167,20.79100923491756,0,4.9,4.9,25,2.43,389496.0
Quetta,QTA,11.30917160427762,37.82392146056405,12,5.4,5.4,24,3.01,480896.0
Lahore,LHR,29.33811675192127,45.263567694071256,8,5.2,5.2,28,7.6,1216776.0
Multan,MUL,29.993788812294873,49.89910511221716,8,5.6,5.6,30,6.97,1114948.0
Quetta,QTA,24.91772313397123,48.34297189647284,2,5.4,5.4,24,5.74,917921.0
Lahore,LHR,10.84150713333289,48.621530817761666,8,5.2,5.2,28,2.69,430608.0
Peshawar,PEW,13.03014172107618,40.15102053217571,2,5.1,5.1,27,3.27,522489.0
Karachi,KHI,18.959634106209645,34.28632090367043,4,5.8,5.8,32,4.29,686771.0
Islamabad,ISB,14.771099274963088,44.491572056391874,6,4.9,4.9,25,4.23,676105.0
Lahore,LHR,20.979029737027993,34.40137901055425,12,5.2,5.2,28,5.42,867826.0
Quetta,QTA,25.26270180677481,39.18084070922727,4,5.4,5.4,24,6.1,976393.0
Peshawar,PEW,29.570179952032312,38.24263548625656,2,5.1,5.1,27,7.6,1215752.0
Hyderabad,HYD,20.205943387928965,22.73006273153991,2,5.7,5.7,31,4.77,763813.0
Bahawalpur,BWP,28.030368124872005,28.938783546258513,2,5.5,5.5,29,6.06,969226.0
Islamabad,ISB,23.348121172856196,43.89415327021632,2,4.9,4.9,25,6.35,1015769.0
Peshawar,PEW,9.45719151274105,21.37583799213899,10,5.1,5.1,27,2.57,411348.0
Multan,MUL,15.643094980959113,26.273923732355424,4,5.6,5.6,30,3.7,592265.0
Lahore,LHR,18.122621497638583,37.542983178474614,4,5.2,5.2,28,4.63,740693.0
Hyderabad,HYD,23.348686621332497,25.402018170478957,6,5.7,5.7,31,5.67,906524.0
Islamabad,ISB,19.335193207012637,49.19331047810313,8,4.9,4.9,25,5.18,829569.0
Karachi,KHI,12.924679449939052,44.65371910533348,2,5.8,5.8,32,2.85,456006.0
Multan,MUL,20.071736802562988,36.03270511197569,6,5.6,5.6,30,4.65,743265.0
Karachi,KHI,27.672779783710368,23.862451948989317,2,5.8,5.8,32,6.33,1012661.0
Lahore,LHR,18.58519866923845,40.63354151288249,10,5.2,5.2,28,4.78,764076.0
Islamabad,ISB,28.25919281169989,21.832338795645914,2,4.9,4.9,25,7.76,1241290.0
Quetta,QTA,16.150386261410404,34.53568955573064,2,5.4,5.4,24,3.99,639177.0
Peshawar,PEW,16.11610007053499,33.876041483994435,8,5.1,5.1,27,4.3,687628.0
Quetta,QTA,19.256903726544657,35.96340455795947,8,5.4,5.4,24,4.57,730925.0
Karachi,KHI,17.843072070116,35.9785179936507,12,5.8,5.8,32,4.16,665934.0
Peshawar,PEW,8.44156635110998,29.66237496749535,12,5.1,5.1,27,2.15,344482.0
Hyderabad,HYD,15.204941747914123,23.59286395457754,0,5.7,5.7,31,3.49,559121.0
Karachi,KHI,25.361767249361442,34.953265967871715,12,5.8,5.8,32,5.21,834399.0
Peshawar,PEW,19.816343920008052,37.60523354062637,0,5.1,5.1,27,4.66,745713.0
Multan,MUL,15.987810520769973,39.377517239948034,2,5.6,5.6,30,4.01,641567.0
Islamabad,ISB,15.834127969752618,49.59545746378939,8,4.9,4.9,25,4.18,668107.0
Bahawalpur,BWP,11.534990211710225,25.59701072153917,10,5.5,5.5,29,2.62,419256.0
Hyderabad,HYD,11.814219096484607,46.90296273879275,12,5.7,5.7,31,2.79,446016.0
Islamabad,ISB,27.041156769667566,44.512162128478394,0,4.9,4.9,25,7.69,1230744.0
Hyderabad,HYD,11.759526922581447,40.05929659773293,0,5.7,5.7,31,2.79,446416.0
Karachi,KHI,14.159540060526252,43.084787995758106,10,5.8,5.8,32,3.55,567244.0
Karachi,KHI,15.120943200893361,32.7630931584925,0,5.8,5.8,32,3.51,562175.0
Lahore,LHR,21.433640933715917,28.65891659720767,8,5.2,5.2,28,5.97,954467.0
Hyderabad,HYD,11.395979736032452,34.434203055644524,4,5.7,5.7,31,2.44,389632.0
Bahawalpur,BWP,10.957122892657434,21.90124911418303,6,5.5,5.5,29,2.82,451390.0
Karachi,KHI,15.091784589443906,44.29623337563905,0,5.8,5.8,32,3.46,553111.0
Hyderabad,HYD,17.060500111239907,30.46604799628986,0,5.7,5.7,31,3.79,605835.0
Multan,MUL,26.273626971330042,48.95080731999538,10,5.6,5.6,30,6.1,975457.0
Lahore,LHR,24.3046542843813,37.234193395397355,8,5.2,5.2,28,5.85,935201.0
Bahawalpur,BWP,26.214699517904823,42.51505774295941,6,5.5,5.5,29,6.25,1000621.0
Multan,MUL,13.185218413429995,39.01275691160532,10,5.6,5.6,30,3.09,494281.0
Peshawar,PEW,14.956324810522881,37.649200273851704,2,5.1,5.1,27,3.86,617800.0
Hyderabad,HYD,27.79268379642781,38.72304632545513,0,5.7,5.7,31,6.92,1107861.0
Quetta,QTA,17.65238285854346,37.32458812718377,0,5.4,5.4,24,4.31,689038.0
Hyderabad,HYD,9.465620472597973,26.87076172774389,12,5.7,5.7,31,2.31,368849.0
Islamabad,ISB,17.493619149001738,29.98447357737453,4,4.9,4.9,25,4.55,728313.0
Quetta,QTA,27.32984053821564,34.862708792118966,10,5.4,5.4,24,6.61,1058083.0
Quetta,QTA,20.60931868366255,49.9307784777153,0,5.4,5.4,24,4.81,769765.0
Quetta,QTA,11.148815682066331,26.136337795083897,2,5.4,5.4,24,2.64,422455.0
Karachi,KHI,18.867592716878978,42.6390587558035,10,5.8,5.8,32,4.62,738637.0
Multan,MUL,18.69986460390337,32.268655312564796,8,5.6,5.6,30,4.35,696538.0
Karachi,KHI,8.268467590996979,37.95328103615681,6,5.8,5.8,32,1.75,279307.0
Multan,MUL,26.189574211799723,48.772243836920836,10,5.6,5.6,30,6.32,1011714.0
Hyderabad,HYD,16.818731168800078,33.86017410932398,10,5.7,5.7,31,4.08,653453.0
Bahawalpur,BWP,19.12955093545825,38.343627063039435,12,5.5,5.5,29,4.69,749884.0
Bahawalpur,BWP,27.186725996771333,47.96354847450837,6,5.5,5.5,29,6.39,1022740.0
Lahore,LHR,17.330874768652492,42.09332706874169,0,5.2,5.2,28,4.73,757292.0
Hyderabad,HYD,28.035096361625687,23.684323455372013,8,5.7,5.7,31,6.58,1052190.0
Bahawalpur,BWP,21.37367666347369,31.379170951566465,8,5.5,5.5,29,5.46,874396.0
Lahore,LHR,12.522755784264024,43.63369666143477,2,5.2,5.2,28,3.05,487755.0
Lahore,LHR,26.997399093485054,47.68880695395455,12,5.2,5.2,28,6.35,1015941.0
Karachi,KHI,18.578413517959618,47.55364174817903,4,5.8,5.8,32,4.37,699460.0
Peshawar,PEW,17.216359889100055,47.445377032043,0,5.1,5.1,27,4.16,665078.0
Multan,MUL,20.772943706116955,38.96792863758591,6,5.6,5.6,30,4.97,794453.0
Lahore,LHR,29.14354698432801,24.45988183259339,10,5.2,5.2,28,6.92,1106875.0
Hyderabad,HYD,9.877692697730165,49.90622755537842,0,5.7,5.7,31,2.19,350093.0
Hyderabad,HYD,24.49913034878191,26.297167792867572,4,5.7,5.7,31,5.41,865673.0
Hyderabad,HYD,12.513072090604158,25.720631619909998,8,5.7,5.7,31,3.09,493758.0
Islamabad,ISB,9.445590067423751,43.26582850085032,12,4.9,4.9,25,2.52,403123.0
Karachi,KHI,19.53658592520676,33.222882408146845,2,5.8,5.8,32,4.85,775776.0
Peshawar,PEW,12.002418870895966,45.85356863040552,12,5.1,5.1,27,3.14,501612.0
Islamabad,ISB,16.212804958154564,28.122340194306613,10,4.9,4.9,25,4.72,755802.0
Quetta,QTA,11.435357142056187,41.47916686542193,8,5.4,5.4,24,2.84,454592.0
Bahawalpur,BWP,8.596111835076638,26.659164857988483,12,5.5,5.5,29,2.09,335071.0
Islamabad,ISB,27.524130615297064,36.70164754350098,2,4.9,4.9,25,7.44,1190520.0
Islamabad,ISB,13.349788201987991,41.66800795566978,10,4.9,4.9,25,3.57,570725.0
Multan,MUL,11.1038006731097,32.19176924820566,12,5.6,5.6,30,2.8,447522.0
Bahawalpur,BWP,9.912350328907685,38.99722324732882,0,5.5,5.5,29,2.44,390749.0
Peshawar,PEW,23.48681497304721,47.31872010620911,8,5.1,5.1,27,5.76,920997.0
Peshawar,PEW,15.389048857296372,44.75321994267979,4,5.1,5.1,27,3.71,593623.0
Multan,MUL,15.594227187388062,43.215035696040204,0,5.6,5.6,30,3.83,612066.0
Karachi,KHI,26.943496439443877,26.585315752428762,2,5.8,5.8,32,6.03,964024.0
Karachi,KHI,20.44708563926433,49.561019367252044,12,5.8,5.8,32,4.79,767086.0
Bahawalpur,BWP,12.006357054074831,34.543351014510385,0,5.5,5.5,29,2.96,472868.0
Multan,MUL,16.85610095913357,26.540693224822594,10,5.6,5.6,30,3.67,587229.0
Islamabad,ISB,17.2774865601722,23.968286333759913,8,4.9,4.9,25,4.57,731916.0
Islamabad,ISB,26.096845270056825,35.88985035965243,2,4.9,4.9,25,6.82,1091974.0
Peshawar,PEW,18.957996577242128,22.015261997471303,8,5.1,5.1,27,5.21,833821.0
Quetta,QTA,10.344732062830836,24.20055615981347,4,5.4,5.4,24,2.61,418338.0
Lahore,LHR,13.86296465415941,41.96553735377187,2,5.2,5.2,28,3.85,616098.0
Quetta,QTA,20.612476319946815,45.14320889534888,8,5.4,5.4,24,5.35,855621.0
Peshawar,PEW,24.96005029541395,32.66108178652062,2,5.1,5.1,27,6.69,1071104.0
Islamabad,ISB,9.987413132707374,43.12957776606436,8,4.9,4.9,25,2.62,419048.0
Multan,MUL,26.415737795466647,33.11580189071731,6,5.6,5.6,30,5.98,957212.0
Islamabad,ISB,28.884749535270846,31.899481191561627,10,4.9,4.9,25,8.27,1323819.0
Hyderabad,HYD,24.116586138625507,26.448211357722702,6,5.7,5.7,31,5.29,847010.0
Peshawar,PEW,9.131367896653508,34.89098741603709,8,5.1,5.1,27,2.4,384739.0
Islamabad,ISB,15.353365597973138,43.12736611237466,8,4.9,4.9,25,3.91,626066.0
Lahore,LHR,18.900808956536366,40.65207189283208,2,5.2,5.2,28,4.52,723886.0
Lahore,LHR,13.420844731260349,44.57306953022599,8,5.2,5.2,28,3.61,577736.0
Lahore,LHR,11.01000988021715,48.50712061462407,12,5.2,5.2,28,2.74,438267.0
Lahore,LHR,12.072924434449632,36.25702842135074,4,5.2,5.2,28,3.22,515525.0
Quetta,QTA,23.93027324400905,39.116947393684605,0,5.4,5.4,24,6.09,974637.0
Karachi,KHI,18.76734920014909,26.636283254588065,2,5.8,5.8,32,4.35,695296.0
Bahawalpur,BWP,23.522653795345146,47.757449522469976,12,5.5,5.5,29,5.59,894945.0
Karachi,KHI,20.49479507215785,47.46464892764126,10,5.8,5.8,32,4.8,767307.0
Islamabad,ISB,28.33671629828367,49.131747354961036,12,4.9,4.9,25,7.48,1197481.0
Multan,MUL,18.432712766464203,45.86127952967941,12,5.6,5.6,30,4.69,749830.0
Quetta,QTA,8.814167963740838,37.888096354461595,4,5.4,5.4,24,1.88,300988.0
Peshawar,PEW,10.652471487100133,22.308596048876275,8,5.1,5.1,27,2.43,389241.0
Quetta,QTA,9.437839497576732,29.45871013491831,0,5.4,5.4,24,2.48,397054.0
Peshawar,PEW,25.395909626457197,29.562575087962095,2,5.1,5.1,27,5.76,921702.0
Peshawar,PEW,13.125108444579944,20.73202344669614,2,5.1,5.1,27,3.56,569051.0
Karachi,KHI,8.467927038708517,46.24105018052598,8,5.8,5.8,32,2.01,321445.0
Islamabad,ISB,29.954550431733423,30.521354463551305,10,4.9,4.9,25,8.08,1292934.0
Lahore,LHR,16.84248009940333,34.396268609117264,0,5.2,5.2,28,3.97,635509.0
Lahore,LHR,24.9020151050194,32.533003465020016,12,5.2,5.2,28,6.57,1050628.0
Peshawar,PEW,24.226810634955612,27.16331437304907,4,5.1,5.1,27,5.74,919094.0
Karachi,KHI,14.518778650031782,27.0082325314973,0,5.8,5.8,32,3.29,526021.0
Bahawalpur,BWP,8.393226564135103,49.63167169208094,0,5.5,5.5,29,2.01,321566.0
Peshawar,PEW,12.801585533031412,48.49883551850676,8,5.1,5.1,27,3.2,511845.0
Multan,MUL,9.96704205086971,32.52742327354785,12,5.6,5.6,30,2.37,378758.0
Multan,MUL,29.762068015893895,42.300584686808726,6,5.6,5.6,30,7.33,1172048.0
Islamabad,ISB,16.834765201360725,45.13477205849736,10,4.9,4.9,25,4.65,743539.0
Karachi,KHI,9.032797857251886,31.522718344737488,0,5.8,5.8,32,2.33,373028.0
Lahore,LHR,29.059945785633165,44.786170873818975,8,5.2,5.2,28,7.98,1276879.0
Hyderabad,HYD,29.919387067747934,46.923084441386116,4,5.7,5.7,31,6.8,1087834.0
Hyderabad,HYD,21.704622424572612,42.43614812276685,0,5.7,5.7,31,5.47,875192.0
Karachi,KHI,18.06350615102156,31.735092982411395,4,5.8,5.8,32,4.53,724064.0
Peshawar,PEW,18.486890223268105,21.331299905997103,2,5.1,5.1,27,4.9,784361.0
Bahawalpur,BWP,28.49496874301778,42.05637963570358,2,5.5,5.5,29,7.02,1123742.0
Bahawalpur,BWP,13.55828006713947,20.15246419454078,4,5.5,5.5,29,3.28,525026.0
Hyderabad,HYD,29.166683397025096,23.284065801633616,6,5.7,5.7,31,7.43,1189567.0
Multan,MUL,29.81245737319106,21.84551078717705,8,5.6,5.6,30,8.0,1279206.0
Karachi,KHI,20.56901672223063,39.86336030319694,4,5.8,5.8,32,4.6,736480.0
Multan,MUL,13.87462194372727,46.358899590654744,4,5.6,5.6,30,3.24,518560.0
Islamabad,ISB,27.08047242111565,41.25088930145104,4,4.9,4.9,25,7.57,1211247.0
Multan,MUL,23.34437215672424,40.40422315280901,12,5.6,5.6,30,5.3,848033.0
Multan,MUL,27.379156702376427,46.15530583235696,4,5.6,5.6,30,6.71,1074012.0
Quetta,QTA,26.16796851242478,23.866096024203355,4,5.4,5.4,24,6.54,1045666.0
Karachi,KHI,25.99527453061937,44.964025338732256,8,5.8,5.8,32,5.93,948859.0
Peshawar,PEW,8.14048917777034,28.61114399524738,10,5.1,5.1,27,2.2,351627.0
Bahawalpur,BWP,13.715678783411516,39.02017109298834,8,5.5,5.5,29,3.01,481660.0
Islamabad,ISB,10.82587179805021,28.50028844796745,12,4.9,4.9,25,3.03,484010.0
Quetta,QTA,16.627326651794327,25.384919702715003,8,5.4,5.4,24,4.12,658457.0
Multan,MUL,25.353753601156374,25.212604259227003,6,5.6,5.6,30,5.98,956857.0
Lahore,LHR,24.961654435706983,41.25716013807888,10,5.2,5.2,28,6.27,1003348.0
Lahore,LHR,9.274250132293563,22.24083253273562,2,5.2,5.2,28,2.42,387466.0
Quetta,QTA,9.443775180628284,44.64538842222323,12,5.4,5.4,24,2.27,363279.0
Quetta,QTA,26.013284153856063,27.57526249065147,12,5.4,5.4,24,5.88,940281.0
Multan,MUL,28.774679969072256,23.06580859081157,0,5.6,5.6,30,6.71,1073899.0
Quetta,QTA,19.594530116660966,44.7776229739969,4,5.4,5.4,24,5.11,817526.0
Islamabad,ISB,27.097195095710443,48.897099603203955,6,4.9,4.9,25,7.86,1257047.0
Multan,MUL,28.759550243687176,32.59181950778367,4,5.6,5.6,30,6.22,994436.0
Karachi,KHI,27.67018248094096,26.898638176732586,8,5.8,5.8,32,6.18,988917.0
Islamabad,ISB,8.68494982345925,39.550004761276554,6,4.9,4.9,25,2.23,356128.0
Islamabad,ISB,29.30025541412388,25.565765471093634,0,4.9,4.9,25,9.0,1439200.0
Multan,MUL,25.08513076141832,43.127655339321564,10,5.6,5.6,30,5.86,937935.0
Multan,MUL,10.887387309012526,20.975785384737556,6,5.6,5.6,30,2.6,415241.0
Karachi,KHI,21.56630691945624,43.89611872928529,0,5.8,5.8,32,4.6,736680.0
Lahore,LHR,12.411543987407407,34.74783640224311,12,5.2,5.2,28,3.28,524624.0
Hyderabad,HYD,20.803370842116774,28.06980213305293,4,5.7,5.7,31,5.34,855019.0
Karachi,KHI,18.558654363776718,38.00061644357911,4,5.8,5.8,32,4.18,669475.0
Multan,MUL,24.655303887446912,48.57945914116151,0,5.6,5.6,30,5.86,938114.0
Bahawalpur,BWP,11.2102856287732,23.08377213477997,10,5.5,5.5,29,2.64,422409.0
Bahawalpur,BWP,8.40408801269188,34.47069144654775,6,5.5,5.5,29,2.09,334532.0
Bahawalpur,BWP,28.707225093112502,22.172488164390245,0,5.5,5.5,29,7.58,1212684.0
Lahore,LHR,27.4157366880312,22.475256033212638,8,5.2,5.2,28,6.97,1114681.0
